Scores
369
350
277
364
282
351
421
582
584
615
477
426
608
311
434
407
374
427
428
451
265
324
281
375
370
295
521
447
437
552
333
360
527
527
656
479
480
549
466
413
328
376
525
456
286
539
277
467
464
427
387
425
425
384
576
339
409
468
442
405
377
408
573
481
576
285
320
513
502
505
521
469
409
255
389
443
272
480
524
436
386
315
342
708
333
411
349
306
344
475
677
646
413
301
306
387
437
246
315
573
338
233
338
588
282
280
611
374
541
539
362
343
495
369
451
402
282
454
219
387
378
430
312
391
594
353
464
373
333
302
425
483
503
294
456
439
460
559
275
304
467
614
382
309
220
353
551
258
274
473
636
696
474
398
509
441
380
408
445
445
350
416
386
379
514
373
354
383
414
464
350
634
404
346
577
281
574
440
307
417
348
435
396
325
543
464
332
367
665
443
330
404
546
509
293
338
362
616
413
308
404
461
351
317
424
520
341
374
479
375
524
306
372
516
530
380
441
312
422
347
377
534
404
413
289
339
408
264
519
357
228
613
378
429
476
368
311
417
441
649
384
554
537
422
428
320
349
292
221
285
507
339
388
497
333
511
183
330
598
383
369
420
315
490
276
341
466
575
412
362
406
661
440
440
464
448
312
376
635
267
225
307
609
562
374
349
495
360
430
250
457
392
458
482
337
280
425
430
329
277
