Scores
7
6
6
6
6
10
5
9
3
13
8
9
14
8
8
16
5
10
8
6
9
11
7
10
7
3
6
13
5
6
12
14
3
3
10
14
9
9
5
8
14
14
15
13
14
11
14
8
11
13
8
9
6
4
6
5
4
10
12
11
8
2
8
16
22
6
3
14
12
7
5
6
11
5
0
12
11
9
0
4
25
5
9
6
6
8
5
9
7
10
11
11
8
7
7
4
9
10
5
1
6
8
8
9
8
7
8
8
12
10
6
2
1
5
3
5
3
10
6
4
18
8
6
10
2
15
5
10
12
7
10
16
6
5
10
10
5
14
9
11
5
9
3
5
6
21
11
11
6
4
7
2
6
3
13
8
1
9
7
9
3
8
9
16
3
11
9
3
7
7
8
6
4
9
11
9
3
10
5
8
11
16
7
7
8
7
10
4
8
8
5
11
9
8
11
18
7
6
11
3
6
16
4
13
13
10
12
4
18
13
8
3
11
9
5
10
8
9
2
12
5
4
12
15
6
3
3
6
8
6
4
12
2
6
5
9
15
8
14
8
5
11
7
9
10
12
8
2
4
7
4
9
3
5
12
6
13
7
5
7
3
10
7
8
11
10
2
13
5
4
9
8
25
5
4
6
6
4
9
11
3
12
4
3
7
5
9
16
10
6
7
17
7
8
7
17
7
12
5
10
